Supplier_ID,Country,Sector,Renewable_Energy_%,Emissions_Scope1_tCO2e,Emissions_Scope2_tCO2e,Emissions_Scope3_tCO2e,Data_Confidence,Last_Audit_Year,High_Risk_Operations,Recycled_Materials_%,Emissions_Trend,Traceability_Score,Risk_Category
SUP00076,Mexico,Displays,46,223,878,8761,0.74,2024,No,75,Decreasing,0.63,Medium
SUP00077,USA,Displays,76,252,757,15898,0.77,2020,No,70,Increasing,0.75,Medium
SUP00078,Brazil,Assembly,68,145,644,13729,0.87,2024,No,63,Stable,0.8,Medium
SUP00079,China,Assembly,16,111,378,9768,0.8,2023,No,96,Stable,0.94,Medium
SUP00080,Brazil,Batteries,18,946,1229,18317,0.72,2023,Yes,34,Stable,0.6,High
SUP00081,China,Packaging,31,80,253,5887,0.7,2023,No,13,Stable,0.69,Medium
SUP00082,Brazil,Semiconductors,27,562,1994,18214,0.88,2021,Yes,60,Decreasing,0.92,High
SUP00083,USA,Textiles,16,587,746,8525,0.82,2020,No,5,Stable,0.88,Low
SUP00084,USA,Semiconductors,24,282,1426,18351,0.92,2023,No,38,Stable,0.99,High
SUP00085,Vietnam,Batteries,52,698,1083,18891,0.68,2020,No,80,Stable,0.61,High
SUP00086,Thailand,Semiconductors,81,504,1623,13849,0.65,2022,Yes,19,Decreasing,0.64,Medium
SUP00087,India,Semiconductors,72,238,849,15211,0.74,2022,No,21,Stable,0.83,Medium
SUP00088,Thailand,Assembly,6,138,527,6886,0.92,2024,No,73,Increasing,0.98,Low
SUP00089,India,Batteries,18,933,1620,14364,0.74,2021,Yes,55,Stable,0.8,Medium
SUP00090,Germany,Textiles,55,484,1057,6976,0.63,2023,No,58,Stable,0.8,Low
SUP00091,USA,Assembly,45,80,557,8208,0.98,2024,No,83,Stable,1.0,Low
SUP00092,Mexico,Displays,40,291,548,15780,0.62,2022,No,52,Stable,0.55,Medium
SUP00093,Brazil,Packaging,80,92,298,4710,0.93,2024,No,44,Stable,0.9,Low
SUP00094,Thailand,Packaging,79,57,145,2700,0.9,2023,No,26,Stable,0.78,Low
SUP00095,USA,Semiconductors,74,594,1312,17967,0.86,2020,No,68,Decreasing,0.72,High
SUP00096,Vietnam,Assembly,6,52,586,13555,0.84,2023,No,12,Decreasing,0.85,Medium
SUP00097,China,Textiles,85,495,1163,8319,0.75,2021,No,31,Decreasing,0.79,Low
SUP00098,USA,Batteries,81,856,1647,14526,0.73,2021,Yes,64,Stable,0.71,Medium
SUP00099,USA,Batteries,10,925,1787,12546,0.8,2022,Yes,9,Stable,0.59,Medium
SUP00100,Vietnam,Semiconductors,6,258,1162,14325,0.83,2024,No,25,Increasing,1.0,Medium
SUP00101,China,Displays,3,428,519,12897,0.62,2020,No,100,Increasing,0.72,Medium
SUP00102,Vietnam,Assembly,20,115,733,7359,0.67,2021,No,51,Increasing,0.96,Low
SUP00103,Brazil,Semiconductors,0,598,1924,12376,0.85,2022,Yes,29,Decreasing,0.92,Medium
SUP00104,USA,Semiconductors,49,590,1189,16523,0.97,2020,No,20,Stable,1.0,High
SUP00105,Thailand,Textiles,0,646,790,5659,0.79,2020,No,9,Stable,0.75,Low
SUP00106,India,Assembly,6,68,668,8857,0.67,2020,No,61,Increasing,0.45,High
SUP00107,Thailand,Displays,10,359,953,14603,0.71,2023,No,83,Decreasing,0.61,Medium
SUP00108,Thailand,Assembly,1,76,442,8260,0.82,2022,No,100,Increasing,0.79,Low
SUP00109,USA,Packaging,66,90,373,4164,0.77,2022,No,59,Stable,0.75,Low
SUP00110,Vietnam,Semiconductors,27,303,1639,15929,0.68,2020,Yes,12,Increasing,0.76,Medium
SUP00111,Germany,Displays,58,188,936,9102,0.98,2020,No,57,Increasing,1.0,Medium
SUP00112,Germany,Textiles,15,418,819,4577,0.65,2024,No,64,Stable,0.8,Low
SUP00113,Thailand,Packaging,11,71,365,3107,0.69,2024,No,25,Decreasing,0.73,Low
SUP00114,China,Displays,2,407,756,10646,0.87,2020,No,62,Increasing,0.75,Medium
SUP00115,Vietnam,Displays,5,322,659,14275,0.67,2023,No,7,Stable,0.79,Medium
SUP00116,Germany,Semiconductors,73,290,1395,14201,0.75,2022,No,64,Stable,0.84,Medium
SUP00117,Brazil,Displays,80,225,893,13180,0.79,2021,No,70,Stable,0.58,Medium
SUP00118,USA,Semiconductors,30,339,1452,17095,0.83,2022,No,36,Stable,0.86,High
SUP00119,USA,Assembly,54,142,567,9769,0.95,2022,No,82,Stable,0.96,Medium
SUP00120,Thailand,Batteries,70,766,1043,16522,0.79,2024,Yes,87,Stable,0.68,High
SUP00121,Germany,Assembly,2,76,344,11257,0.97,2021,No,84,Stable,1.0,Medium
SUP00122,Mexico,Assembly,54,85,515,14834,0.98,2021,No,73,Stable,1.0,Medium
SUP00123,USA,Packaging,62,88,126,2249,0.63,2023,No,21,Decreasing,0.6,Medium
SUP00124,Thailand,Semiconductors,75,399,1790,12769,0.69,2022,Yes,44,Stable,0.65,Medium
SUP00125,Vietnam,Batteries,81,839,1785,19244,0.95,2022,Yes,49,Stable,1.0,High
SUP00126,China,Semiconductors,85,391,1893,19766,0.69,2021,Yes,67,Decreasing,0.56,High
SUP00127,USA,Semiconductors,12,201,1523,16682,0.89,2024,Yes,13,Increasing,0.83,High
SUP00128,Germany,Assembly,75,88,786,9183,0.79,2022,No,61,Stable,0.66,Medium
SUP00129,Thailand,Packaging,11,67,188,3651,0.96,2024,No,26,Increasing,1.0,Low
SUP00130,Germany,Assembly,20,61,615,10439,0.84,2022,No,12,Increasing,0.82,Medium
SUP00131,India,Semiconductors,33,441,1857,14570,0.7,2021,Yes,25,Increasing,0.7,Medium
SUP00132,China,Packaging,26,50,244,3951,0.89,2023,No,89,Increasing,0.79,Low
SUP00133,Mexico,Packaging,34,69,339,5814,0.9,2023,No,81,Stable,0.83,Low
SUP00134,Mexico,Packaging,15,31,250,3460,0.68,2021,No,44,Stable,0.65,Medium
SUP00135,Thailand,Packaging,55,81,314,5180,0.85,2022,No,21,Stable,0.81,Low
SUP00136,USA,Assembly,32,65,486,9438,0.92,2020,No,40,Stable,0.82,Low
SUP00137,USA,Textiles,53,823,633,9507,0.73,2022,Yes,46,Decreasing,0.68,Medium
SUP00138,China,Semiconductors,64,287,1653,18227,0.83,2021,Yes,6,Stable,0.89,High
SUP00139,Brazil,Displays,73,361,865,13883,0.85,2022,No,43,Stable,0.87,Medium
SUP00140,China,Semiconductors,93,283,1788,17236,0.75,2023,Yes,91,Stable,0.68,High
SUP00141,Thailand,Batteries,44,628,1266,16656,0.68,2021,No,98,Stable,0.63,High
SUP00142,India,Batteries,50,886,1600,11815,0.82,2021,Yes,93,Increasing,0.69,Medium
SUP00143,Vietnam,Semiconductors,17,539,1538,10625,0.96,2022,Yes,63,Increasing,0.9,Medium
SUP00144,Vietnam,Assembly,89,70,586,13283,0.81,2021,No,17,Decreasing,0.73,Medium
SUP00145,Vietnam,Batteries,44,704,1449,17536,0.86,2021,Yes,35,Stable,0.98,High
SUP00146,USA,Displays,56,223,879,11062,0.79,2020,No,20,Increasing,0.67,Medium
SUP00147,Vietnam,Packaging,16,37,245,4543,0.88,2024,No,19,Stable,0.74,Low
SUP00148,USA,Batteries,97,851,1379,15412,0.99,2024,Yes,59,Decreasing,1.0,Medium
SUP00149,China,Batteries,95,966,1344,16080,0.88,2020,Yes,87,Stable,1.0,High
SUP00150,Vietnam,Batteries,45,589,1765,11937,1.0,2022,Yes,95,Stable,1.0,Medium
SUP00151,Brazil,Packaging,67,85,358,4194,0.64,2023,No,84,Increasing,0.67,Medium
SUP00152,USA,Textiles,4,837,744,7398,0.92,2024,Yes,23,Stable,0.99,Low
SUP00153,Brazil,Displays,14,496,729,13296,0.78,2022,No,84,Stable,0.97,Medium
SUP00154,Mexico,Assembly,44,105,530,8662,0.96,2022,No,51,Stable,1.0,Low
SUP00155,India,Packaging,96,80,209,2393,0.78,2021,No,14,Increasing,0.66,Medium
SUP00156,Mexico,Displays,40,150,754,15046,0.84,2024,No,80,Increasing,0.91,Medium
SUP00157,Brazil,Packaging,24,61,138,2216,0.88,2020,No,66,Stable,0.59,Medium
SUP00158,China,Semiconductors,9,577,1890,11909,0.91,2022,Yes,33,Increasing,0.79,Medium
SUP00159,Vietnam,Packaging,61,59,261,4483,0.9,2021,No,82,Decreasing,0.72,Low
SUP00160,USA,Semiconductors,32,526,1754,14565,0.88,2022,Yes,34,Stable,0.92,Medium
SUP00161,Mexico,Batteries,100,717,1546,17103,0.81,2021,Yes,17,Stable,0.73,High
SUP00162,Brazil,Assembly,81,73,457,13182,0.77,2022,No,0,Stable,0.72,Medium
SUP00163,USA,Semiconductors,98,366,936,19616,0.9,2020,No,72,Stable,0.87,High
SUP00164,Mexico,Textiles,80,536,936,4607,0.92,2024,No,4,Stable,1.0,Low
SUP00165,Thailand,Assembly,74,53,411,14297,0.64,2020,No,70,Stable,0.65,Medium
SUP00166,Mexico,Batteries,84,929,1721,15084,0.91,2023,Yes,13,Stable,1.0,Medium
SUP00167,China,Batteries,24,928,1684,12521,0.69,2022,Yes,58,Stable,0.88,Medium
SUP00168,Mexico,Displays,94,490,939,14529,0.94,2024,No,22,Stable,0.87,Medium
SUP00169,Vietnam,Displays,4,378,890,8626,0.68,2022,No,78,Decreasing,0.72,Low
SUP00170,Mexico,Assembly,89,72,507,11326,0.65,2024,No,92,Stable,0.71,Medium
SUP00171,Vietnam,Semiconductors,19,272,1823,13517,0.65,2020,Yes,64,Stable,0.51,Medium
SUP00172,India,Displays,22,217,681,9987,0.8,2020,No,88,Increasing,0.82,Medium
SUP00173,Mexico,Textiles,20,398,623,7986,1.0,2024,No,5,Increasing,0.96,Low
SUP00174,USA,Batteries,56,744,1362,15990,0.83,2022,Yes,21,Increasing,0.86,High
SUP00175,Brazil,Displays,46,402,938,11777,0.99,2020,No,25,Stable,1.0,Medium
SUP00176,Mexico,Assembly,28,148,495,10276,0.93,2024,No,86,Increasing,0.76,Medium
SUP00177,Thailand,Batteries,53,509,1102,12756,0.67,2022,No,63,Increasing,0.52,Medium
SUP00178,China,Textiles,41,839,557,4925,0.86,2022,Yes,71,Decreasing,0.73,Low
SUP00179,Germany,Semiconductors,12,512,1903,15595,0.63,2023,Yes,6,Stable,0.57,High
SUP00180,China,Textiles,46,645,707,6664,0.81,2020,No,87,Decreasing,0.71,Low
SUP00181,Brazil,Semiconductors,94,384,1960,14803,0.76,2020,Yes,64,Increasing,0.66,Medium
SUP00182,Mexico,Assembly,10,118,585,14547,0.93,2020,No,24,Decreasing,1.0,Medium
SUP00183,Thailand,Assembly,61,138,543,11742,0.77,2022,No,93,Stable,0.65,Medium
SUP00184,Germany,Batteries,25,589,1561,10050,0.79,2024,Yes,94,Increasing,0.81,Medium
SUP00185,China,Batteries,79,728,1263,11861,0.62,2022,Yes,43,Stable,0.52,Medium
SUP00186,Vietnam,Semiconductors,94,406,1027,16937,0.98,2023,No,91,Stable,1.0,High
SUP00187,India,Displays,70,380,534,11097,0.86,2023,No,99,Decreasing,0.91,Medium
SUP00188,China,Batteries,6,741,1700,17561,0.85,2021,Yes,44,Stable,0.85,High
SUP00189,India,Textiles,87,479,1091,4920,0.72,2021,No,9,Stable,0.87,Low
SUP00190,India,Packaging,25,50,275,3541,0.8,2024,No,42,Decreasing,0.76,Low
SUP00191,Mexico,Semiconductors,82,576,1096,17422,0.71,2022,No,13,Stable,0.69,High
SUP00192,China,Textiles,16,897,883,7087,0.99,2024,Yes,27,Stable,0.92,Low
SUP00193,USA,Textiles,37,751,1011,4066,0.84,2022,Yes,82,Stable,0.91,Low
SUP00194,USA,Displays,49,275,500,10452,0.92,2024,No,2,Stable,0.94,Medium
SUP00195,Vietnam,Displays,43,242,952,8211,0.78,2020,No,14,Stable,0.87,Low
SUP00196,Germany,Textiles,99,571,541,4243,0.64,2023,No,21,Stable,0.5,Medium
SUP00197,India,Batteries,14,825,1462,10452,0.77,2023,Yes,31,Decreasing,0.73,Medium
SUP00198,India,Assembly,0,82,555,11970,0.84,2021,No,42,Stable,0.76,Medium
SUP00199,Germany,Assembly,44,103,345,6925,0.9,2021,No,27,Stable,0.89,Low
SUP00200,India,Semiconductors,86,585,820,11705,0.78,2023,No,18,Increasing,0.74,Medium
SUP00201,Brazil,Displays,32,456,669,11882,0.99,2022,No,95,Decreasing,0.92,Medium
SUP00202,USA,Packaging,62,92,366,3432,0.75,2022,No,59,Increasing,0.75,Low
SUP00203,India,Textiles,16,730,549,8166,0.86,2021,Yes,17,Increasing,0.98,Low
SUP00204,Vietnam,Displays,47,241,970,13318,0.76,2024,No,95,Increasing,0.8,Medium
SUP00205,China,Packaging,67,85,338,3337,0.85,2020,No,90,Stable,0.87,Low
SUP00206,USA,Packaging,48,38,295,5358,0.75,2020,No,33,Increasing,0.7,Low
SUP00207,Thailand,Assembly,42,88,535,8408,0.73,2022,No,92,Decreasing,0.7,Low
SUP00208,Mexico,Textiles,80,429,905,5084,0.8,2021,No,16,Decreasing,0.62,Medium
SUP00209,USA,Assembly,41,82,610,10789,0.75,2020,No,24,Stable,0.75,Medium
SUP00210,USA,Semiconductors,95,533,1663,12477,0.87,2021,Yes,11,Decreasing,1.0,Medium
SUP00211,Brazil,Packaging,20,79,329,5693,0.92,2022,No,76,Decreasing,0.94,Low
SUP00212,Vietnam,Textiles,38,886,810,4296,0.71,2022,Yes,40,Decreasing,0.76,Low
SUP00213,Brazil,Textiles,57,871,1089,5457,0.64,2021,Yes,78,Decreasing,0.67,Medium
SUP00214,Germany,Displays,29,235,701,8889,0.63,2020,No,11,Increasing,0.71,Low
SUP00215,Brazil,Displays,46,486,508,14140,0.63,2023,No,90,Decreasing,0.64,Medium
SUP00216,Vietnam,Semiconductors,61,486,1936,11449,0.64,2021,Yes,52,Stable,0.6,Medium
SUP00217,India,Textiles,79,870,906,9335,0.79,2021,Yes,54,Stable,0.94,Medium
SUP00218,Mexico,Batteries,58,850,1046,13188,0.84,2022,Yes,36,Increasing,0.83,Medium
SUP00219,Vietnam,Semiconductors,69,503,1337,16452,0.64,2022,No,88,Stable,0.53,High
SUP00220,Germany,Batteries,66,702,1093,17540,0.88,2022,Yes,5,Decreasing,0.86,High
SUP00221,Brazil,Textiles,92,791,876,6700,0.67,2021,Yes,66,Decreasing,0.61,Medium
SUP00222,Vietnam,Packaging,97,92,211,2147,0.67,2021,No,22,Increasing,0.58,Medium
SUP00223,USA,Packaging,77,35,235,4358,0.76,2021,No,10,Increasing,0.56,Medium
SUP00224,China,Textiles,54,509,895,8818,0.89,2021,No,91,Stable,0.72,Medium
SUP00225,Germany,Displays,90,357,683,15793,0.7,2022,No,77,Increasing,0.75,Medium
SUP00226,USA,Semiconductors,10,593,1576,15113,0.82,2022,Yes,84,Stable,0.72,Medium
SUP00227,Germany,Textiles,81,813,891,7429,0.97,2021,Yes,37,Decreasing,1.0,Low
SUP00228,Brazil,Semiconductors,53,330,1265,13190,0.61,2020,No,0,Increasing,0.59,Medium
SUP00229,Brazil,Batteries,44,674,1700,16244,0.79,2020,Yes,5,Stable,0.74,High
SUP00230,Vietnam,Displays,5,403,792,9857,0.96,2023,No,57,Stable,0.89,Medium
SUP00231,Mexico,Displays,5,236,558,9234,0.78,2024,No,8,Increasing,0.85,Medium
SUP00232,Mexico,Batteries,74,569,1747,10428,0.92,2021,Yes,52,Stable,0.98,Medium
SUP00233,Germany,Displays,72,282,524,8453,0.61,2022,No,28,Stable,0.57,Medium
SUP00234,Germany,Textiles,62,866,838,4679,0.95,2020,Yes,73,Increasing,0.78,Low
SUP00235,Mexico,Displays,20,255,922,14094,0.87,2020,No,62,Decreasing,0.96,Medium
SUP00236,India,Batteries,91,800,1162,11843,0.9,2023,Yes,43,Decreasing,0.91,Medium
SUP00237,Germany,Assembly,11,118,697,14818,0.62,2024,No,7,Increasing,0.73,Medium
SUP00238,Germany,Displays,45,466,684,10001,0.62,2023,No,57,Stable,0.78,Medium
SUP00239,India,Displays,16,263,839,10102,0.79,2023,No,57,Stable,0.76,Medium
SUP00240,Mexico,Batteries,81,637,1065,13642,0.78,2021,No,75,Stable,0.79,Medium
SUP00241,China,Packaging,76,65,287,3233,0.64,2020,No,42,Decreasing,0.59,Medium
SUP00242,Mexico,Textiles,80,322,816,4942,0.99,2020,No,37,Decreasing,1.0,Low
SUP00243,Germany,Assembly,52,79,549,13705,0.72,2023,No,27,Increasing,1.0,Medium
SUP00244,Brazil,Batteries,82,859,1173,15712,0.88,2023,Yes,35,Increasing,0.95,Medium
SUP00245,Thailand,Packaging,36,48,207,2986,0.62,2021,No,38,Increasing,0.72,Low
SUP00246,USA,Packaging,50,62,251,4899,0.68,2023,No,78,Decreasing,0.63,Medium
SUP00247,Thailand,Batteries,49,686,1342,18434,0.63,2023,No,53,Stable,0.79,High
SUP00248,India,Displays,18,222,799,9817,0.76,2022,No,38,Stable,0.76,Medium
SUP00249,Vietnam,Displays,87,452,957,13667,0.65,2022,No,87,Increasing,0.62,Medium
SUP00250,Brazil,Textiles,21,506,552,9326,0.85,2020,No,87,Stable,0.66,Medium
SUP00251,USA,Semiconductors,51,301,862,13723,0.74,2023,No,42,Decreasing,0.55,Medium
SUP00252,Mexico,Displays,32,304,699,15848,0.82,2021,No,18,Increasing,0.71,Medium
SUP00253,USA,Assembly,100,149,572,10701,0.95,2024,No,24,Stable,1.0,Medium
SUP00254,China,Assembly,40,81,578,8979,0.9,2022,No,25,Stable,0.83,Low
SUP00255,USA,Semiconductors,24,462,1149,15242,0.96,2020,No,70,Stable,0.92,Medium
SUP00256,Vietnam,Packaging,68,47,139,2048,0.78,2022,No,50,Stable,0.91,Low
SUP00257,Germany,Packaging,0,73,317,5162,0.79,2020,No,31,Increasing,0.68,Medium
SUP00258,USA,Displays,79,248,739,15143,0.68,2021,No,53,Stable,0.66,Medium
SUP00259,Germany,Displays,7,492,854,9670,0.64,2024,No,25,Stable,0.76,Medium
SUP00260,Germany,Packaging,77,46,205,4054,0.65,2023,No,96,Stable,0.63,Medium
SUP00261,India,Assembly,34,92,753,14383,0.92,2021,No,89,Decreasing,1.0,Medium
SUP00262,China,Displays,57,428,921,12368,0.63,2024,No,90,Stable,0.74,Medium
SUP00263,Germany,Semiconductors,82,352,1755,18405,0.62,2024,Yes,42,Stable,0.72,High
SUP00264,India,Assembly,66,55,660,12204,0.69,2022,No,73,Stable,0.71,Medium
SUP00265,Thailand,Displays,100,180,697,10797,0.68,2023,No,86,Increasing,0.58,Medium
SUP00266,USA,Semiconductors,85,313,1968,16713,0.65,2022,Yes,6,Stable,0.61,High
SUP00267,Thailand,Semiconductors,27,466,1986,12874,0.91,2022,Yes,5,Stable,0.96,Medium
SUP00268,Thailand,Assembly,32,58,601,7415,0.86,2022,No,25,Stable,0.77,Low
SUP00269,Brazil,Displays,38,237,842,15245,0.75,2023,No,10,Increasing,0.85,Medium
SUP00270,Germany,Packaging,54,79,149,4749,0.99,2024,No,56,Stable,0.89,Low
SUP00271,Thailand,Batteries,99,758,1142,12781,0.71,2020,Yes,54,Stable,0.74,Medium
SUP00272,Thailand,Assembly,28,146,743,13715,0.73,2020,No,76,Decreasing,0.71,Medium
SUP00273,Mexico,Packaging,61,62,366,4482,0.98,2022,No,49,Increasing,0.88,Low
SUP00274,Mexico,Assembly,3,69,763,14206,0.9,2023,No,33,Stable,0.83,Medium
SUP00275,Thailand,Batteries,52,737,1697,13369,0.97,2024,Yes,26,Stable,0.98,Medium
SUP00276,USA,Displays,60,404,774,11216,0.62,2022,No,16,Decreasing,0.69,Medium
SUP00277,Thailand,Textiles,13,850,826,5224,0.91,2022,Yes,70,Stable,0.93,Low
SUP00278,Mexico,Semiconductors,61,557,1991,10900,0.74,2024,Yes,13,Increasing,0.88,Medium
SUP00279,Mexico,Assembly,73,134,675,9586,0.75,2021,No,33,Stable,0.99,Medium
SUP00280,Brazil,Textiles,86,750,989,9965,0.64,2020,Yes,35,Stable,0.84,Medium
SUP00281,Vietnam,Batteries,58,918,1446,12807,0.77,2021,Yes,56,Decreasing,0.74,Medium
SUP00282,India,Assembly,61,61,740,13049,0.98,2022,No,98,Increasing,1.0,Medium
SUP00283,Germany,Assembly,93,114,678,14665,0.61,2024,No,30,Stable,0.61,Medium
SUP00284,India,Displays,95,208,963,11285,0.76,2022,No,12,Increasing,0.68,Medium
