Supplier_ID,Country,Product_Type,Units_Produced,Material_Type,Reported_Emissions_kgCO2e,Emission_Factor,Source,Data_Confidence,ThirdParty_Estimate,Report_Month,Green_Certified,Prior_Violations,Audit_Score
SUP1135,USA,Frame,50841,Silicon,95206.7,2.36,Internal,High,68176.5,2022-09,1,0,56
SUP1136,India,Battery,98539,Lithium,423030.8,3.49,3rdParty,Medium,427091.7,2022-05,1,0,84
SUP1137,Germany,Chipset,28605,Silicon,39022.2,1.66,3rdParty,High,31970.8,2022-10,0,0,54
SUP1138,China,Camera,23740,Plastic,31431.3,1.22,Hybrid,Medium,29610.1,2023-11,0,0,83
SUP1139,India,Chipset,34361,Glass,43924.0,1.63,Internal,Low,27540.5,2023-05,1,0,58
SUP1140,China,Battery,65641,Lithium,48238.8,0.73,Hybrid,Medium,57480.6,2022-08,1,0,64
SUP1141,China,Chipset,26431,Silicon,23635.7,0.95,Internal,High,31359.5,2022-08,0,0,94
SUP1142,Germany,Frame,77816,Silicon,96125.1,2.03,Internal,Medium,114417.9,2022-08,0,0,81
SUP1143,India,Battery,18630,Aluminium,45747.3,3.43,Internal,Medium,43284.2,2024-02,0,1,59
SUP1144,Vietnam,Chipset,26227,Glass,131247.8,3.44,3rdParty,High,118769.8,2023-03,0,0,58
SUP1145,China,Frame,55093,Lithium,89987.9,1.67,Internal,Medium,82642.7,2023-07,1,0,84
SUP1146,USA,Battery,38643,Aluminium,78640.6,2.13,Hybrid,Medium,53441.2,2023-10,1,1,78
SUP1147,Vietnam,Screen,14057,Silicon,30220.9,2.56,Internal,Medium,36535.8,2022-05,0,0,68
SUP1148,Vietnam,Chipset,10496,Silicon,9998.9,0.98,Internal,High,11690.1,2022-03,0,0,92
SUP1149,China,Screen,35196,Glass,39926.4,1.06,3rdParty,Low,29722.1,2024-02,0,0,63
SUP1150,China,Screen,41372,Aluminium,119716.8,2.54,3rdParty,Medium,116924.1,2022-04,1,1,84
SUP1151,USA,Camera,74445,Silicon,23750.2,0.51,Internal,High,23162.9,2023-11,1,0,52
SUP1152,Vietnam,Screen,96286,Lithium,279162.7,2.18,Hybrid,Medium,213630.4,2023-02,0,0,61
SUP1153,USA,Camera,44934,Lithium,82659.5,2.05,Hybrid,Medium,95877.3,2022-01,0,0,77
SUP1154,Germany,Frame,17184,Lithium,21072.5,1.4,Hybrid,Medium,18474.4,2023-02,1,0,75
SUP1155,Vietnam,Battery,96804,Plastic,133499.0,1.5,Internal,Low,167344.4,2023-07,1,0,95
SUP1156,USA,Frame,95788,Silicon,116084.8,1.89,3rdParty,High,136028.7,2022-07,1,1,73
SUP1157,China,Chipset,43821,Aluminium,37725.4,0.98,Hybrid,Low,47048.3,2024-01,1,0,93
SUP1158,USA,Chipset,1162,Lithium,3422.7,2.86,3rdParty,High,4067.2,2023-01,1,0,67
SUP1159,USA,Frame,16892,Lithium,23302.0,1.45,Hybrid,High,24437.8,2023-12,0,0,97
SUP1160,Vietnam,Screen,78465,Lithium,300529.1,2.86,Internal,Medium,184858.3,2024-01,1,1,90
SUP1161,China,Screen,30300,Lithium,58491.0,1.75,Internal,Medium,49619.3,2022-02,0,0,88
SUP1162,China,Battery,68169,Plastic,157543.5,1.95,Internal,Medium,73169.5,2022-12,0,0,59
SUP1163,Germany,Frame,11800,Silicon,12332.9,0.99,3rdParty,High,8888.5,2022-08,1,1,77
SUP1164,Germany,Camera,28624,Plastic,121307.8,2.75,Internal,Medium,88110.5,2022-03,0,0,74
SUP1165,Germany,Screen,33658,Silicon,107952.0,3.39,Internal,Medium,75614.3,2023-09,0,0,64
SUP1166,USA,Screen,7971,Lithium,14941.9,2.17,Hybrid,Low,20787.4,2022-01,0,0,57
SUP1167,Vietnam,Chipset,18071,Glass,22051.6,1.44,Internal,Medium,31098.5,2023-11,0,0,83
SUP1168,India,Chipset,2125,Plastic,5875.3,1.78,3rdParty,Medium,4722.2,2022-03,0,1,87
SUP1169,USA,Frame,82835,Aluminium,159316.3,1.91,Internal,High,206040.5,2023-10,1,0,75
SUP1170,Vietnam,Chipset,86751,Plastic,61443.8,0.8,3rdParty,Medium,56799.1,2023-11,0,0,54
SUP1171,India,Frame,77637,Glass,156806.7,2.4,3rdParty,Medium,125043.6,2023-12,0,0,58
SUP1172,India,Chipset,56296,Glass,119333.8,2.58,3rdParty,Low,141219.3,2023-05,1,0,62
SUP1173,USA,Frame,87661,Glass,35893.6,0.5,3rdParty,Medium,29391.8,2022-04,0,0,68
SUP1174,Germany,Chipset,9472,Plastic,29960.3,3.4,Internal,Low,39098.4,2022-09,0,0,68
SUP1175,India,Camera,80676,Lithium,47975.0,0.79,Hybrid,High,62926.8,2022-09,0,0,53
SUP1176,Germany,Chipset,51139,Plastic,143869.0,2.5,3rdParty,Medium,159855.6,2022-11,1,1,70
SUP1177,Vietnam,Chipset,45900,Glass,86854.6,1.97,Internal,Medium,113454.0,2023-05,0,1,57
SUP1178,Vietnam,Chipset,7581,Lithium,11943.6,1.89,Internal,Medium,12810.1,2023-08,1,0,56
SUP1179,India,Chipset,88445,Lithium,177836.3,1.96,3rdParty,Medium,171989.9,2022-09,0,0,55
SUP1180,China,Screen,27512,Silicon,35636.1,1.92,Internal,Medium,56330.3,2023-05,0,0,95
SUP1181,China,Frame,95611,Lithium,72629.3,1.35,3rdParty,Medium,80479.4,2023-10,1,0,86
SUP1182,China,Battery,34623,Silicon,59245.4,1.54,Hybrid,Medium,81512.2,2023-02,0,0,68
SUP1183,India,Camera,56284,Silicon,147721.6,2.32,Hybrid,Low,115708.2,2022-05,0,0,72
SUP1184,Vietnam,Battery,23190,Lithium,50049.3,2.56,Hybrid,Medium,32909.2,2022-08,1,0,64
SUP1185,China,Screen,37636,Aluminium,88198.3,2.44,3rdParty,Medium,100800.4,2023-10,0,0,52
SUP1186,India,Frame,63068,Plastic,158332.6,2.09,Hybrid,Medium,70913.5,2024-02,1,0,80
SUP1187,China,Battery,8461,Lithium,15512.8,1.66,Internal,High,19751.6,2023-09,1,0,93
SUP1188,USA,Frame,85162,Lithium,190317.8,2.24,Internal,Medium,173893.4,2022-02,0,0,53
SUP1189,Vietnam,Battery,94376,Lithium,92199.1,1.52,Hybrid,Medium,151901.9,2022-11,0,0,54
SUP1190,USA,Chipset,92575,Lithium,215072.4,2.18,3rdParty,Medium,130845.3,2023-03,0,0,86
SUP1191,USA,Chipset,9036,Glass,28797.0,3.17,Internal,High,26298.3,2023-03,0,0,81
SUP1192,India,Camera,4236,Aluminium,10986.6,2.16,3rdParty,Low,10124.7,2023-01,0,0,95
SUP1193,India,Camera,75027,Glass,209158.7,2.17,Internal,Medium,116086.1,2023-03,1,0,66
SUP1194,Germany,Chipset,58169,Aluminium,187867.3,2.88,Internal,Medium,199651.0,2023-07,0,0,83
SUP1195,Germany,Camera,4630,Lithium,2937.7,0.61,Internal,Medium,3712.8,2023-08,0,0,55
SUP1196,China,Frame,61011,Lithium,134374.8,2.76,3rdParty,Medium,224490.7,2023-03,0,1,99
SUP1197,China,Frame,56220,Glass,91282.8,1.72,Hybrid,Low,95590.1,2023-04,1,0,94
SUP1198,China,Battery,63320,Aluminium,119227.5,3.18,3rdParty,Medium,241291.3,2023-10,1,0,91
SUP1199,Vietnam,Chipset,12944,Glass,13713.5,1.13,Hybrid,High,17466.3,2022-04,1,0,86
SUP1200,Vietnam,Camera,8295,Aluminium,27901.6,2.8,3rdParty,High,23914.7,2022-04,0,0,84
SUP1201,Germany,Chipset,62388,Silicon,155967.8,2.59,Internal,Medium,170700.5,2022-10,0,0,51
SUP1202,USA,Screen,47092,Lithium,108437.9,3.09,3rdParty,Medium,110857.5,2023-09,1,0,79
SUP1203,Vietnam,Camera,35324,Glass,44975.4,1.57,Internal,Medium,55046.0,2022-10,0,0,69
SUP1204,USA,Screen,17237,Lithium,18908.5,1.41,Hybrid,High,22019.5,2023-06,1,0,90
SUP1205,India,Battery,90678,Aluminium,47477.0,0.5,3rdParty,Medium,52559.9,2023-11,0,0,55
SUP1206,Vietnam,Chipset,56103,Silicon,185522.9,3.29,3rdParty,Low,220267.5,2023-01,0,0,61
SUP1207,Germany,Camera,33441,Plastic,65195.0,2.19,Internal,Medium,80750.9,2023-01,0,0,60
SUP1208,China,Chipset,55040,Aluminium,56564.0,0.82,Hybrid,Medium,46575.7,2022-09,0,0,63
SUP1209,Germany,Chipset,55120,Lithium,167474.9,3.08,Hybrid,Medium,119127.7,2022-09,0,0,71
SUP1210,China,Chipset,77396,Silicon,49145.7,0.61,3rdParty,Medium,54139.0,2023-09,0,0,50
SUP1211,India,Camera,34002,Glass,86184.6,2.5,Internal,High,89447.8,2023-09,0,0,87
SUP1212,USA,Battery,40779,Plastic,25936.0,0.59,Internal,Medium,20871.5,2022-04,0,0,50
SUP1213,India,Chipset,44791,Aluminium,92926.9,2.06,3rdParty,Medium,100067.5,2023-09,0,0,56
SUP1214,India,Battery,21093,Lithium,9239.9,0.5,Internal,Medium,13142.7,2022-04,1,0,78
SUP1215,USA,Screen,32131,Silicon,84198.9,2.74,3rdParty,Low,93224.9,2023-11,1,1,99
SUP1216,Germany,Chipset,50429,Aluminium,73368.0,1.11,Internal,Low,46568.4,2022-08,1,0,60
SUP1217,Germany,Battery,34840,Lithium,49818.8,1.51,Hybrid,Medium,64302.0,2023-06,0,1,69
SUP1218,India,Battery,48562,Aluminium,141149.9,3.37,Internal,Medium,192929.9,2023-10,1,0,95
SUP1219,Vietnam,Frame,38853,Silicon,78838.6,1.94,Internal,Low,85804.2,2023-01,0,0,93
SUP1220,China,Chipset,60234,Lithium,188324.7,3.48,Hybrid,High,247417.7,2023-06,1,0,78
SUP1221,Germany,Camera,29001,Aluminium,90069.5,3.38,Hybrid,Medium,84985.3,2022-10,0,0,96
SUP1222,China,Frame,22542,Aluminium,26995.7,0.99,3rdParty,Medium,24024.0,2022-10,1,0,91
SUP1223,India,Screen,21022,Glass,24271.8,1.26,Internal,High,18768.7,2022-04,0,0,76
SUP1224,USA,Frame,68712,Aluminium,125580.7,2.78,Internal,Medium,173529.1,2024-02,0,0,78
SUP1225,India,Camera,67641,Lithium,223973.7,3.04,Internal,High,236169.3,2023-05,0,0,90
SUP1226,Vietnam,Chipset,79532,Glass,126129.4,2.19,Hybrid,Low,137221.0,2022-07,1,0,63
SUP1227,India,Screen,9275,Plastic,8506.1,1.11,Hybrid,Medium,11235.4,2023-02,0,0,53
SUP1228,USA,Frame,47976,Glass,45923.8,0.79,3rdParty,Low,50055.4,2023-11,0,0,94
SUP1229,Vietnam,Camera,58149,Aluminium,30543.5,0.5,Internal,Medium,13515.8,2022-08,0,0,69
SUP1230,Germany,Frame,91453,Lithium,274843.6,3.4,Hybrid,Medium,376316.4,2022-05,1,0,63
SUP1231,China,Frame,8214,Lithium,26991.8,3.45,Internal,High,38083.6,2023-04,0,0,59
SUP1232,Germany,Screen,98022,Aluminium,167108.1,1.31,Hybrid,Medium,136050.2,2023-09,0,0,74
SUP1233,Germany,Chipset,34872,Aluminium,60185.9,1.85,Hybrid,Medium,58759.5,2022-01,0,0,66
SUP1234,USA,Frame,67216,Silicon,55408.4,0.93,Internal,Low,76333.4,2022-01,0,0,85
SUP1235,India,Screen,42328,Glass,139562.9,2.85,Internal,Low,125712.1,2023-11,0,0,68
SUP1236,China,Battery,11578,Silicon,26470.3,2.01,Hybrid,Low,27348.1,2023-04,0,1,69
SUP1237,India,Chipset,28798,Plastic,98340.9,3.11,Hybrid,Medium,95321.2,2023-11,0,0,68
SUP1238,Germany,Screen,54747,Lithium,55638.0,1.06,3rdParty,Medium,53484.4,2024-01,1,0,82
SUP1239,USA,Battery,82938,Silicon,48141.7,0.72,Internal,Medium,39052.6,2023-10,1,0,72
SUP1240,Germany,Camera,23931,Silicon,33905.3,1.48,Internal,Medium,38063.4,2024-02,0,0,98
SUP1241,India,Frame,60778,Plastic,139012.6,2.05,3rdParty,Medium,159218.5,2024-02,0,0,78
SUP1242,India,Frame,69136,Lithium,217063.6,2.3,3rdParty,Medium,226355.4,2022-04,0,0,53
SUP1243,China,Frame,43137,Aluminium,44139.0,0.96,3rdParty,Medium,48134.2,2024-01,0,0,94
SUP1244,India,Battery,66618,Aluminium,101328.9,1.16,3rdParty,High,69310.3,2023-06,1,0,70
SUP1245,China,Chipset,95574,Lithium,232331.4,1.8,Internal,Medium,234880.9,2023-06,1,0,98
SUP1246,Vietnam,Chipset,55318,Aluminium,50137.2,1.14,Hybrid,High,56515.1,2022-01,0,0,97
SUP1247,USA,Screen,27149,Glass,56770.3,1.98,Hybrid,Medium,42993.0,2022-01,0,1,57
SUP1248,Germany,Screen,24248,Aluminium,29653.3,1.12,3rdParty,High,23390.9,2022-06,0,0,92
