Supplier_ID,Predicted_Emissions,Uncertainty,Risk_Score
SUP1168,72745.664,6756.02715658872,491471681.9303301
SUP1077,199934.62,17906.65420091314,3580160192.6642437
SUP1142,15185.128,10922.63132324481,165861553.9722843
SUP1060,64778.31,7309.7052417506975,473510341.87947863
SUP1121,88490.02,7910.790240385868,700026013.7808917
SUP1055,150165.81,13594.533785540429,2041434211.4643793
SUP1114,157644.66,9065.136940781755,1429070396.8887162
SUP1073,29921.37,9492.216118972614,284020102.4583704
SUP1046,131954.27,15465.396025188913,2040724975.103597
SUP1034,295316.4,23619.946055755074,6975357585.004451
SUP1062,107901.32,9931.326827455041,1071603277.1373508
SUP1063,67189.98,5923.3257365816935,397988117.41297704
SUP1099,53133.105,11371.803483529367,604219233.8602645
SUP1129,78887.82,7164.211934268304,565169063.751226
SUP1171,36195.09,9285.515598566375,336090071.335652
SUP1008,15374.808,9894.486646467876,152125828.6602743
SUP1018,81664.82,10683.953016446312,872503103.3152804
SUP1052,22659.97,12869.976196628739,291633283.5655233
SUP1026,41711.66,8381.440557686776,349603800.16204125
SUP1007,44823.582,7951.24137164073,356403119.872007
SUP1188,104499.05,10838.629699990706,1132626473.080096
SUP1075,212972.53,14838.160887186588,3160120683.2388735
SUP1148,43821.426,8633.3714419687,378326645.8861947
SUP1101,55835.473,7086.690062622272,395688689.2148645
SUP1006,122439.766,7961.560338797081,974811581.8916103
SUP1029,196039.5,13731.151129499494,2691848001.8515162
SUP1184,92662.195,8368.7833052316,775469833.1573598
SUP1164,45463.41,8145.473331243329,370320994.9751115
SUP1154,74195.305,6353.018494882127,471364142.9131021
SUP1199,25756.69,8556.97197020734,220399269.69572565
SUP1080,20108.588,9945.247568385397,199984884.82290232
SUP1135,72464.51,6218.065537466398,450589058.71837085
SUP1119,74169.1,9563.436033575848,709311458.4607593
SUP1172,62203.496,7844.713750496849,487968621.1356176
SUP1030,53664.855,7090.526410516271,380512075.01771045
SUP1009,82836.83,10769.331113754177,892097230.4912696
SUP1117,204655.5,15770.334351750265,3227485661.9246264
