Supplier_ID,Country,Sector,Year,Renewable_Energy_%,Emissions_Scope1_tCO2e,Emissions_Scope2_tCO2e,Emissions_Scope3_tCO2e,Data_Confidence,Recycled_Materials_%,Traceability_Score
SUP00031,Thailand,Semiconductors,2021,80,415,1365,14994,0.91,39,0.85
SUP00031,Thailand,Semiconductors,2022,76,378,1477,14905,0.8,35,0.8
SUP00031,Thailand,Semiconductors,2023,82,460,1364,15067,0.65,25,0.74
SUP00031,Thailand,Semiconductors,2024,82,434,1440,15304,0.73,41,0.78
SUP00032,Thailand,Packaging,2020,49,43,229,3869,0.78,20,0.88
SUP00032,Thailand,Packaging,2021,47,118,279,3826,0.72,19,0.8
SUP00032,Thailand,Packaging,2022,53,2,339,4595,0.76,31,0.84
SUP00032,Thailand,Packaging,2023,56,-59,366,4168,0.96,17,0.81
SUP00032,Thailand,Packaging,2024,54,57,379,3902,0.81,14,0.77
SUP00033,Vietnam,Textiles,2020,19,625,986,6807,0.62,49,0.6
SUP00033,Vietnam,Textiles,2021,16,626,888,6801,0.61,55,0.59
SUP00033,Vietnam,Textiles,2022,21,553,1096,6801,0.56,52,0.61
SUP00033,Vietnam,Textiles,2023,14,655,808,7499,0.73,50,0.7
SUP00033,Vietnam,Textiles,2024,14,645,897,7103,0.57,49,0.64
SUP00034,India,Displays,2020,37,351,762,11872,0.65,51,0.65
SUP00034,India,Displays,2021,33,365,795,11660,0.51,55,0.47
SUP00034,India,Displays,2022,38,349,758,12098,0.64,58,0.53
SUP00034,India,Displays,2023,33,287,726,11749,0.55,54,0.54
SUP00034,India,Displays,2024,38,321,783,12099,0.65,49,0.62
SUP00035,Mexico,Packaging,2020,33,43,295,3848,0.77,28,0.77
SUP00035,Mexico,Packaging,2021,30,92,466,3714,0.56,20,0.62
SUP00035,Mexico,Packaging,2022,25,86,292,4142,0.65,27,0.67
SUP00035,Mexico,Packaging,2023,30,105,73,3857,0.69,19,0.62
SUP00035,Mexico,Packaging,2024,30,34,194,4311,0.66,12,0.68
SUP00036,India,Packaging,2020,26,105,335,3791,0.54,5,0.56
SUP00036,India,Packaging,2021,24,49,244,4467,0.68,2,0.69
SUP00036,India,Packaging,2022,21,129,234,4013,0.53,0,0.57
SUP00036,India,Packaging,2023,26,10,431,3671,0.71,0,0.65
SUP00036,India,Packaging,2024,25,8,404,4212,0.69,3,0.63
SUP00037,Vietnam,Semiconductors,2020,19,425,1386,15129,0.8,24,0.79
SUP00037,Vietnam,Semiconductors,2021,13,385,1514,14750,0.95,36,0.93
SUP00037,Vietnam,Semiconductors,2022,18,416,1301,14971,0.83,39,0.87
SUP00037,Vietnam,Semiconductors,2023,21,315,1377,15295,0.76,22,0.82
SUP00037,Vietnam,Semiconductors,2024,17,475,1388,15255,0.76,30,0.76
SUP00038,India,Batteries,2020,16,726,1487,15142,0.58,10,0.62
SUP00038,India,Batteries,2021,12,680,1371,15066,0.57,9,0.57
SUP00038,India,Batteries,2022,9,680,1355,14506,0.77,14,0.75
SUP00038,India,Batteries,2023,12,726,1364,14455,0.53,11,0.59
SUP00038,India,Batteries,2024,14,725,1448,14981,0.68,4,0.66
SUP00039,Vietnam,Textiles,2020,34,537,994,7270,0.48,19,0.47
SUP00039,Vietnam,Textiles,2021,41,596,935,6629,0.42,19,0.47
SUP00039,Vietnam,Textiles,2022,37,559,686,7254,0.52,19,0.57
SUP00039,Vietnam,Textiles,2023,37,593,920,6848,0.44,27,0.37
SUP00039,Vietnam,Textiles,2024,40,531,766,7451,0.55,27,0.53
SUP00040,Germany,Batteries,2020,35,755,1588,14682,0.52,38,0.44
SUP00040,Germany,Batteries,2021,32,603,1433,14834,0.51,51,0.5
SUP00040,Germany,Batteries,2022,35,720,1226,14995,0.45,50,0.41
SUP00040,Germany,Batteries,2023,35,860,1363,15058,0.39,42,0.35
SUP00040,Germany,Batteries,2024,27,775,1405,14685,0.59,40,0.53
SUP00041,Germany,Assembly,2020,48,96,454,10330,0.66,19,0.62
SUP00041,Germany,Assembly,2021,47,139,475,10221,0.69,27,0.64
SUP00041,Germany,Assembly,2022,51,121,710,10456,0.67,17,0.69
SUP00041,Germany,Assembly,2023,45,56,640,10724,0.7,23,0.69
SUP00041,Germany,Assembly,2024,49,126,499,10355,0.61,31,0.6
SUP00042,India,Textiles,2020,63,671,796,7064,0.6,56,0.59
SUP00042,India,Textiles,2021,61,619,725,6702,0.72,49,0.65
SUP00042,India,Textiles,2022,57,578,920,7348,0.46,61,0.49
SUP00042,India,Textiles,2023,58,599,762,6784,0.51,61,0.5
SUP00042,India,Textiles,2024,58,629,912,7071,0.59,49,0.56
SUP00043,India,Assembly,2020,7,93,593,10967,0.86,9,0.71
SUP00043,India,Assembly,2021,12,92,645,11071,0.77,11,0.82
SUP00043,India,Assembly,2022,13,154,664,10065,0.77,7,0.76
SUP00043,India,Assembly,2023,6,126,454,10640,0.61,6,0.65
SUP00043,India,Assembly,2024,8,54,378,10883,0.87,2,0.91
SUP00044,Thailand,Batteries,2020,65,759,1404,14731,0.33,28,0.38
SUP00044,Thailand,Batteries,2021,70,781,1399,15165,0.42,20,0.45
SUP00044,Thailand,Batteries,2022,64,766,1258,15011,0.37,15,0.35
SUP00044,Thailand,Batteries,2023,69,825,1509,14890,0.34,15,0.4
SUP00044,Thailand,Batteries,2024,64,869,1391,15619,0.51,26,0.42
SUP00045,Vietnam,Textiles,2020,29,567,905,7030,0.45,19,0.41
SUP00045,Vietnam,Textiles,2021,38,615,912,6693,0.49,28,0.51
SUP00045,Vietnam,Textiles,2022,31,660,958,7390,0.48,18,0.48
SUP00045,Vietnam,Textiles,2023,31,605,986,6996,0.46,16,0.48
SUP00045,Vietnam,Textiles,2024,32,541,943,7213,0.35,20,0.44
SUP00046,China,Packaging,2020,30,98,210,3414,0.56,3,0.58
SUP00046,China,Packaging,2021,25,60,372,3972,0.68,2,0.66
SUP00046,China,Packaging,2022,25,58,240,3548,0.74,14,0.69
SUP00046,China,Packaging,2023,30,144,225,4168,0.62,12,0.7
SUP00046,China,Packaging,2024,27,45,251,4048,0.61,7,0.65
SUP00047,Mexico,Displays,2020,23,337,859,12229,0.86,15,0.77
SUP00047,Mexico,Displays,2021,29,316,541,12652,0.71,4,0.69
SUP00047,Mexico,Displays,2022,31,284,848,12153,0.75,14,0.81
SUP00047,Mexico,Displays,2023,24,344,614,12071,0.82,12,0.8
SUP00047,Mexico,Displays,2024,30,213,716,12286,0.71,18,0.66
SUP00048,Brazil,Displays,2020,60,349,610,12125,1.0,34,0.89
SUP00048,Brazil,Displays,2021,60,364,653,11752,0.81,36,0.91
SUP00048,Brazil,Displays,2022,62,311,862,11359,0.94,32,0.9
SUP00048,Brazil,Displays,2023,61,337,708,12415,0.97,39,0.92
SUP00048,Brazil,Displays,2024,58,310,667,12426,0.76,40,0.82
SUP00049,India,Textiles,2020,35,624,752,7601,0.49,16,0.51
SUP00049,India,Textiles,2021,28,656,926,7403,0.57,1,0.59
SUP00049,India,Textiles,2022,32,619,822,6895,0.51,14,0.57
SUP00049,India,Textiles,2023,35,626,775,6820,0.64,7,0.57
SUP00049,India,Textiles,2024,29,612,707,7262,0.72,6,0.64
SUP00050,Brazil,Semiconductors,2020,18,455,1374,14484,0.81,14,0.82
SUP00050,Brazil,Semiconductors,2021,18,331,1370,14545,0.85,7,0.8
SUP00050,Brazil,Semiconductors,2022,23,395,1512,15230,0.83,16,0.79
SUP00050,Brazil,Semiconductors,2023,18,306,1358,15477,0.77,7,0.81
SUP00050,Brazil,Semiconductors,2024,26,434,1399,15030,0.83,10,0.81
SUP00051,Mexico,Displays,2020,12,329,695,11950,0.48,7,0.5
SUP00051,Mexico,Displays,2021,9,257,811,11487,0.57,1,0.52
SUP00051,Mexico,Displays,2022,7,307,793,12051,0.56,0,0.54
SUP00051,Mexico,Displays,2023,9,250,896,12118,0.51,8,0.55
SUP00051,Mexico,Displays,2024,4,292,832,11639,0.53,0,0.53
SUP00052,Thailand,Textiles,2020,54,561,853,6852,0.44,23,0.48
SUP00052,Thailand,Textiles,2021,58,578,917,7202,0.45,33,0.44
SUP00052,Thailand,Textiles,2022,60,549,992,7226,0.43,28,0.45
SUP00052,Thailand,Textiles,2023,59,572,751,7400,0.39,27,0.48
SUP00052,Thailand,Textiles,2024,61,622,847,7697,0.48,29,0.43
SUP00053,Brazil,Semiconductors,2020,63,361,1500,15167,0.9,22,0.95
SUP00053,Brazil,Semiconductors,2021,64,383,1348,14718,0.86,24,0.86
SUP00053,Brazil,Semiconductors,2022,65,354,1407,15210,1.0,28,1.0
SUP00053,Brazil,Semiconductors,2023,66,421,1675,15256,0.91,28,0.95
SUP00053,Brazil,Semiconductors,2024,71,384,1339,15144,0.9,29,0.92
SUP00054,India,Packaging,2020,36,59,147,3719,0.37,14,0.4
SUP00054,India,Packaging,2021,37,-25,146,3868,0.42,4,0.44
SUP00054,India,Packaging,2022,41,48,325,3938,0.48,9,0.43
SUP00054,India,Packaging,2023,35,-24,352,4714,0.34,4,0.37
SUP00054,India,Packaging,2024,38,37,44,4201,0.35,13,0.37
SUP00055,India,Semiconductors,2020,70,453,1265,14759,0.66,43,0.63
SUP00055,India,Semiconductors,2021,76,371,1483,14802,0.79,42,0.77
SUP00055,India,Semiconductors,2022,73,446,1350,14899,0.73,37,0.73
SUP00055,India,Semiconductors,2023,70,405,1362,14182,0.65,46,0.74
SUP00055,India,Semiconductors,2024,72,515,1400,15057,0.74,34,0.72
SUP00056,Brazil,Assembly,2020,39,116,753,10725,0.89,42,0.88
SUP00056,Brazil,Assembly,2021,42,63,590,10520,0.79,45,0.82
SUP00056,Brazil,Assembly,2022,38,111,464,10488,0.86,43,0.86
SUP00056,Brazil,Assembly,2023,40,117,551,10247,0.95,31,0.89
SUP00056,Brazil,Assembly,2024,41,59,686,10617,0.77,37,0.78
SUP00057,China,Packaging,2020,58,74,349,4066,0.87,47,0.83
SUP00057,China,Packaging,2021,65,51,251,4085,0.75,65,0.79
SUP00057,China,Packaging,2022,57,137,323,4216,0.8,50,0.79
SUP00057,China,Packaging,2023,57,34,37,4156,0.73,60,0.74
SUP00057,China,Packaging,2024,57,77,150,4272,0.63,65,0.73
SUP00058,China,Displays,2020,67,374,902,12000,0.61,52,0.68
SUP00058,China,Displays,2021,72,272,846,12020,0.69,54,0.64
SUP00058,China,Displays,2022,64,339,678,12413,0.65,49,0.63
SUP00058,China,Displays,2023,65,307,811,11987,0.58,38,0.65
SUP00058,China,Displays,2024,73,253,743,12306,0.72,51,0.68
SUP00059,China,Displays,2020,45,362,863,11837,0.75,29,0.74
SUP00059,China,Displays,2021,51,307,696,12156,0.7,23,0.65
SUP00059,China,Displays,2022,49,365,744,12204,0.53,24,0.57
SUP00059,China,Displays,2023,52,298,718,12242,0.54,37,0.54
SUP00059,China,Displays,2024,50,372,597,12069,0.61,28,0.61
SUP00060,Germany,Semiconductors,2020,27,383,1244,14503,0.77,8,0.79
SUP00060,Germany,Semiconductors,2021,33,451,1451,14797,0.74,9,0.7
SUP00060,Germany,Semiconductors,2022,35,343,1432,15294,0.68,9,0.72
SUP00060,Germany,Semiconductors,2023,30,438,1565,14872,0.65,5,0.69
SUP00060,Germany,Semiconductors,2024,35,394,1349,15080,0.76,0,0.71
SUP00061,Brazil,Assembly,2020,21,67,306,10554,0.85,14,0.81
SUP00061,Brazil,Assembly,2021,25,159,491,10434,0.93,6,0.88
SUP00061,Brazil,Assembly,2022,23,122,541,10138,0.82,14,0.82
SUP00061,Brazil,Assembly,2023,24,120,355,10648,0.88,19,0.91
SUP00061,Brazil,Assembly,2024,22,96,731,10224,1.0,16,1.0
SUP00062,Mexico,Packaging,2020,7,21,361,4051,0.53,31,0.52
SUP00062,Mexico,Packaging,2021,13,94,442,3730,0.47,23,0.54
SUP00062,Mexico,Packaging,2022,8,95,104,4046,0.65,24,0.59
SUP00062,Mexico,Packaging,2023,6,53,123,4363,0.55,27,0.58
SUP00062,Mexico,Packaging,2024,14,45,205,3993,0.6,26,0.59
SUP00063,Thailand,Semiconductors,2020,66,346,1402,15346,0.75,33,0.71
SUP00063,Thailand,Semiconductors,2021,63,286,1331,15166,0.69,26,0.69
SUP00063,Thailand,Semiconductors,2022,65,389,1457,15386,0.82,23,0.79
SUP00063,Thailand,Semiconductors,2023,61,350,1376,14810,0.72,19,0.68
SUP00063,Thailand,Semiconductors,2024,65,408,1368,14917,0.68,24,0.68
SUP00064,USA,Assembly,2020,7,107,594,10783,0.44,35,0.43
SUP00064,USA,Assembly,2021,11,129,618,10507,0.38,40,0.41
SUP00064,USA,Assembly,2022,16,85,572,10588,0.43,39,0.42
SUP00064,USA,Assembly,2023,13,106,521,10124,0.39,32,0.43
SUP00064,USA,Assembly,2024,12,108,468,10524,0.48,30,0.46
SUP00065,Mexico,Assembly,2020,63,140,565,10782,0.59,22,0.59
SUP00065,Mexico,Assembly,2021,63,73,651,10661,0.67,23,0.65
SUP00065,Mexico,Assembly,2022,59,79,728,10977,0.51,18,0.58
SUP00065,Mexico,Assembly,2023,57,113,429,10643,0.55,19,0.62
SUP00065,Mexico,Assembly,2024,61,154,656,10655,0.63,26,0.61
SUP00066,India,Packaging,2020,7,72,264,3874,0.68,36,0.52
SUP00066,India,Packaging,2021,7,52,359,4562,0.6,32,0.63
SUP00066,India,Packaging,2022,2,100,196,4018,0.51,28,0.54
SUP00066,India,Packaging,2023,6,15,244,3543,0.58,22,0.6
SUP00066,India,Packaging,2024,3,66,315,3927,0.58,20,0.55
SUP00067,India,Batteries,2020,62,818,1299,15225,0.8,16,0.81
SUP00067,India,Batteries,2021,66,780,1459,14902,0.94,19,0.82
SUP00067,India,Batteries,2022,63,846,1250,15608,0.84,15,0.84
SUP00067,India,Batteries,2023,64,865,1289,15181,0.76,13,0.75
SUP00067,India,Batteries,2024,58,790,1475,15406,0.8,15,0.8
SUP00068,Brazil,Batteries,2020,60,762,1326,15246,0.85,37,0.86
SUP00068,Brazil,Batteries,2021,53,722,1260,14773,0.9,46,0.91
SUP00068,Brazil,Batteries,2022,58,751,1334,14829,0.87,46,0.81
SUP00068,Brazil,Batteries,2023,57,786,1229,14935,0.9,47,0.89
SUP00068,Brazil,Batteries,2024,57,716,1389,15315,0.89,41,0.92
SUP00069,Mexico,Displays,2020,25,304,868,12008,0.92,34,0.91
SUP00069,Mexico,Displays,2021,29,297,771,12144,0.82,29,0.84
SUP00069,Mexico,Displays,2022,22,318,740,11736,0.93,30,0.88
SUP00069,Mexico,Displays,2023,27,403,676,11714,0.82,30,0.83
SUP00069,Mexico,Displays,2024,22,336,842,11849,0.75,35,0.79
SUP00070,China,Semiconductors,2020,31,391,1492,14531,0.52,26,0.41
SUP00070,China,Semiconductors,2021,39,355,1435,14750,0.38,29,0.39
SUP00070,China,Semiconductors,2022,35,379,1485,14987,0.41,26,0.41
SUP00070,China,Semiconductors,2023,33,404,1362,14624,0.33,29,0.45
SUP00070,China,Semiconductors,2024,32,389,1404,15060,0.48,29,0.48
SUP00071,Thailand,Semiconductors,2020,70,423,1535,15124,0.78,59,0.74
SUP00071,Thailand,Semiconductors,2021,71,389,1374,15076,0.79,58,0.76
SUP00071,Thailand,Semiconductors,2022,77,439,1139,14712,0.73,45,0.69
SUP00071,Thailand,Semiconductors,2023,74,401,1367,15262,0.7,46,0.68
SUP00071,Thailand,Semiconductors,2024,68,362,1317,15247,0.71,45,0.74
SUP00072,India,Batteries,2020,50,857,1310,14770,0.9,22,0.85
SUP00072,India,Batteries,2021,46,692,1458,14651,0.87,10,0.86
SUP00072,India,Batteries,2022,41,752,1494,14821,0.84,26,0.77
SUP00072,India,Batteries,2023,43,684,1656,14566,0.85,20,0.8
SUP00072,India,Batteries,2024,41,805,1524,14417,0.93,7,0.87
SUP00073,Mexico,Assembly,2020,50,63,485,10381,0.64,35,0.68
SUP00073,Mexico,Assembly,2021,53,164,585,10524,0.55,26,0.57
SUP00073,Mexico,Assembly,2022,57,-10,661,10653,0.77,28,0.74
SUP00073,Mexico,Assembly,2023,55,185,488,10811,0.56,30,0.62
SUP00073,Mexico,Assembly,2024,49,176,603,10077,0.69,36,0.67
SUP00074,Thailand,Displays,2020,14,372,748,11403,0.64,0,0.75
SUP00074,Thailand,Displays,2021,15,298,688,12211,0.77,8,0.75
SUP00074,Thailand,Displays,2022,9,258,561,11825,0.69,0,0.71
